group_num;n_bins;distance;method
0;30;0.265725;Chisquare
0;30;0.955471;Correlation
0;30;0.196808;Chisquare Alt
0;30;0.844219;Intersect
0;30;0.106949;KL DIV
0;31;0.169667;Bhattacharyya
0;31;0.261927;Chisquare
0;31;0.937268;Correlation
0;31;0.215899;Chisquare Alt
0;31;0.832208;Intersect
0;31;0.124691;KL DIV
0;32;0.160926;Bhattacharyya
0;32;0.255476;Chisquare
0;32;0.960206;Correlation
0;32;0.193688;Chisquare Alt
0;32;0.849703;Intersect
0;32;0.111954;KL DIV
0;33;0.173187;Bhattacharyya
0;33;0.287065;Chisquare
0;33;0.940414;Correlation
0;33;0.225929;Chisquare Alt
0;33;0.825303;Intersect
0;33;0.123725;KL DIV
0;34;0.16968;Bhattacharyya
0;34;0.292756;Chisquare
0;34;0.953197;Correlation
0;34;0.214109;Chisquare Alt
0;34;0.840989;Intersect
0;34;0.119911;KL DIV
0;35;0.171909;Bhattacharyya
0;35;0.276249;Chisquare
0;35;0.944203;Correlation
0;35;0.221242;Chisquare Alt
0;35;0.825501;Intersect
0;35;0.133981;KL DIV
0;36;0.175012;Bhattacharyya
0;36;0.286322;Chisquare
0;36;0.944866;Correlation
0;36;0.226489;Chisquare Alt
0;36;0.832893;Intersect
0;36;0.134018;KL DIV
0;37;0.177646;Bhattacharyya
0;37;0.30028;Chisquare
0;37;0.93762;Correlation
0;37;0.234717;Chisquare Alt
0;37;0.821471;Intersect
0;37;0.131633;KL DIV
0;38;0.175869;Bhattacharyya
0;38;0.289935;Chisquare
0;38;0.943486;Correlation
0;38;0.23051;Chisquare Alt
0;38;0.827169;Intersect
0;38;0.134984;KL DIV
0;39;0.175902;Bhattacharyya
0;39;0.297136;Chisquare
0;39;0.941827;Correlation
0;39;0.230709;Chisquare Alt
0;39;0.826781;Intersect
0;39;0.131814;KL DIV
0;40;0.179439;Bhattacharyya
0;40;0.316903;Chisquare
0;40;0.93882;Correlation
0;40;0.240181;Chisquare Alt
0;40;0.822079;Intersect
0;40;0.134858;KL DIV
0;41;0.178371;Bhattacharyya
0;41;0.30092;Chisquare
0;41;0.944435;Correlation
0;41;0.235742;Chisquare Alt
0;41;0.822769;Intersect
0;41;0.14033;KL DIV
0;42;0.184187;Bhattacharyya
0;42;0.337887;Chisquare
0;42;0.933238;Correlation
0;42;0.251933;Chisquare Alt
0;42;0.811886;Intersect
0;42;0.145054;KL DIV
0;43;0.182047;Bhattacharyya
0;43;0.318205;Chisquare
0;43;0.940397;Correlation
0;43;0.243668;Chisquare Alt
0;43;0.826712;Intersect
0;43;0.146559;KL DIV
0;44;0.185326;Bhattacharyya
0;44;0.3456;Chisquare
0;44;0.935099;Correlation
0;44;0.255175;Chisquare Alt
0;44;0.812731;Intersect
0;44;0.145113;KL DIV
0;45;0.184934;Bhattacharyya
0;45;0.327448;Chisquare
0;45;0.937616;Correlation
0;45;0.252583;Chisquare Alt
0;45;0.819393;Intersect
0;45;0.15003;KL DIV
0;46;0.186374;Bhattacharyya
0;46;0.347876;Chisquare
0;46;0.941813;Correlation
0;46;0.256086;Chisquare Alt
0;46;0.81224;Intersect
0;46;0.154363;KL DIV
0;47;0.187492;Bhattacharyya
0;47;0.350132;Chisquare
0;47;0.938152;Correlation
0;47;0.258926;Chisquare Alt
0;47;0.816388;Intersect
0;47;0.153866;KL DIV
0;48;0.188652;Bhattacharyya
0;48;0.349355;Chisquare
0;48;0.932025;Correlation
0;48;0.262083;Chisquare Alt
0;48;0.813216;Intersect
0;48;0.157707;KL DIV
0;49;0.189453;Bhattacharyya
0;49;0.356715;Chisquare
0;49;0.932776;Correlation
0;49;0.264273;Chisquare Alt
0;49;0.810235;Intersect
0;49;0.155877;KL DIV
0;50;0.187991;Bhattacharyya
0;50;0.350941;Chisquare
0;50;0.937447;Correlation
0;50;0.259457;Chisquare Alt
0;50;0.811646;Intersect
0;50;0.157361;KL DIV
0;51;0.189617;Bhattacharyya
0;51;0.372976;Chisquare
0;51;0.934747;Correlation
0;51;0.264963;Chisquare Alt
0;51;0.811444;Intersect
0;51;0.158562;KL DIV
0;52;0.189001;Bhattacharyya
0;52;0.344836;Chisquare
0;52;0.936756;Correlation
0;52;0.263188;Chisquare Alt
0;52;0.812307;Intersect
0;52;0.159726;KL DIV
0;53;0.191944;Bhattacharyya
0;53;0.370552;Chisquare
0;53;0.924704;Correlation
0;53;0.270918;Chisquare Alt
0;53;0.805187;Intersect
0;53;0.159833;KL DIV
0;54;0.193526;Bhattacharyya
0;54;0.363163;Chisquare
0;54;0.932976;Correlation
0;54;0.273212;Chisquare Alt
0;54;0.809073;Intersect
0;54;0.167979;KL DIV
0;55;0.193158;Bhattacharyya
0;55;0.370816;Chisquare
0;55;0.931674;Correlation
0;55;0.273065;Chisquare Alt
0;55;0.808028;Intersect
0;55;0.168975;KL DIV
0;56;0.194547;Bhattacharyya
0;56;0.371028;Chisquare
0;56;0.938122;Correlation
0;56;0.275751;Chisquare Alt
0;56;0.808838;Intersect
0;56;0.167099;KL DIV
0;57;0.193806;Bhattacharyya
0;57;0.376215;Chisquare
0;57;0.931759;Correlation
0;57;0.27432;Chisquare Alt
0;57;0.807049;Intersect
0;57;0.166679;KL DIV
0;58;0.196954;Bhattacharyya
0;58;0.37539;Chisquare
0;58;0.92223;Correlation
0;58;0.28311;Chisquare Alt
0;58;0.803193;Intersect
0;58;0.175809;KL DIV
0;59;0.19765;Bhattacharyya
0;59;0.397847;Chisquare
0;59;0.926076;Correlation
0;59;0.284811;Chisquare Alt
0;59;0.801939;Intersect
0;59;0.172128;KL DIV
0;60;0.197402;Bhattacharyya
0;60;0.385697;Chisquare
0;60;0.931465;Correlation
0;60;0.284016;Chisquare Alt
0;60;0.803856;Intersect
0;60;0.175324;KL DIV
0;61;0.198486;Bhattacharyya
0;61;0.380432;Chisquare
0;61;0.929645;Correlation
0;61;0.284579;Chisquare Alt
0;61;0.803847;Intersect
0;61;0.181601;KL DIV
0;62;0.201411;Bhattacharyya
0;62;0.398952;Chisquare
0;62;0.919751;Correlation
0;62;0.294817;Chisquare Alt
0;62;0.797057;Intersect
0;62;0.18296;KL DIV
0;63;0.201834;Bhattacharyya
0;63;0.402674;Chisquare
0;63;0.924467;Correlation
0;63;0.295578;Chisquare Alt
0;63;0.797529;Intersect
0;63;0.181266;KL DIV
0;64;0.200674;Bhattacharyya
0;64;0.400891;Chisquare
0;64;0.928246;Correlation
0;64;0.292388;Chisquare Alt
0;64;0.797059;Intersect
0;64;0.181312;KL DIV
0;65;0.203091;Bhattacharyya
0;65;0.387446;Chisquare
0;65;0.923761;Correlation
0;65;0.299459;Chisquare Alt
0;65;0.79706;Intersect
0;65;0.188176;KL DIV
0;66;0.202917;Bhattacharyya
0;66;0.4182;Chisquare
0;66;0.926255;Correlation
0;66;0.29785;Chisquare Alt
0;66;0.79816;Intersect
0;66;0.186471;KL DIV
0;67;0.203819;Bhattacharyya
0;67;0.409921;Chisquare
0;67;0.922021;Correlation
0;67;0.300506;Chisquare Alt
0;67;0.794119;Intersect
0;67;0.189826;KL DIV
0;68;0.205068;Bhattacharyya
0;68;0.423997;Chisquare
0;68;0.925136;Correlation
0;68;0.303002;Chisquare Alt
0;68;0.794384;Intersect
0;68;0.188441;KL DIV
0;69;0.20502;Bhattacharyya
0;69;0.403832;Chisquare
0;69;0.927706;Correlation
0;69;0.304105;Chisquare Alt
0;69;0.792186;Intersect
0;69;0.195107;KL DIV
0;70;0.206043;Bhattacharyya
0;70;0.431852;Chisquare
0;70;0.925105;Correlation
0;70;0.306474;Chisquare Alt
0;70;0.793308;Intersect
0;70;0.196497;KL DIV
0;71;0.204893;Bhattacharyya
0;71;0.405235;Chisquare
0;71;0.921705;Correlation
0;71;0.301857;Chisquare Alt
0;71;0.795224;Intersect
0;71;0.188364;KL DIV
0;72;0.208293;Bhattacharyya
0;72;0.426314;Chisquare
0;72;0.922217;Correlation
0;72;0.312319;Chisquare Alt
0;72;0.790843;Intersect
0;72;0.197688;KL DIV
0;73;0.208774;Bhattacharyya
0;73;0.42572;Chisquare
0;73;0.922299;Correlation
0;73;0.313429;Chisquare Alt
0;73;0.788416;Intersect
0;73;0.2052;KL DIV
0;74;0.20784;Bhattacharyya
0;74;0.411879;Chisquare
0;74;0.92431;Correlation
0;74;0.310264;Chisquare Alt
0;74;0.793977;Intersect
0;74;0.198026;KL DIV
