group_num;n_bins;distance;method
0;30;12.9213;KL DIV
0;31;0.783136;Bhattacharyya
0;31;53.7309;Chisquare
0;31;0.142969;Correlation
0;31;2.75379;Chisquare Alt
0;31;0.221971;Intersect
0;31;13.0205;KL DIV
0;32;0.782626;Bhattacharyya
0;32;59.2314;Chisquare
0;32;0.142755;Correlation
0;32;2.74875;Chisquare Alt
0;32;0.235062;Intersect
0;32;12.9936;KL DIV
0;33;0.785468;Bhattacharyya
0;33;63.9477;Chisquare
0;33;0.14333;Correlation
0;33;2.7625;Chisquare Alt
0;33;0.219298;Intersect
0;33;13.08;KL DIV
0;34;0.784094;Bhattacharyya
0;34;96.2631;Chisquare
0;34;0.14967;Correlation
0;34;2.746;Chisquare Alt
0;34;0.231076;Intersect
0;34;12.9985;KL DIV
0;35;0.787854;Bhattacharyya
0;35;59.0054;Chisquare
0;35;0.131828;Correlation
0;35;2.78665;Chisquare Alt
0;35;0.215122;Intersect
0;35;13.0675;KL DIV
0;36;0.784945;Bhattacharyya
0;36;76.034;Chisquare
0;36;0.133079;Correlation
0;36;2.75409;Chisquare Alt
0;36;0.231125;Intersect
0;36;13.077;KL DIV
0;37;0.788481;Bhattacharyya
0;37;98.0199;Chisquare
0;37;0.146696;Correlation
0;37;2.7686;Chisquare Alt
0;37;0.226071;Intersect
0;37;12.8639;KL DIV
0;38;0.787355;Bhattacharyya
0;38;55.2337;Chisquare
0;38;0.143515;Correlation
0;38;2.77141;Chisquare Alt
0;38;0.227258;Intersect
0;38;12.8957;KL DIV
0;39;0.787267;Bhattacharyya
0;39;62.5501;Chisquare
0;39;0.133571;Correlation
0;39;2.77754;Chisquare Alt
0;39;0.224212;Intersect
0;39;12.786;KL DIV
0;40;0.791773;Bhattacharyya
0;40;131.352;Chisquare
0;40;0.129144;Correlation
0;40;2.7972;Chisquare Alt
0;40;0.219285;Intersect
0;40;13.0649;KL DIV
0;41;0.789891;Bhattacharyya
0;41;77.9134;Chisquare
0;41;0.144664;Correlation
0;41;2.79158;Chisquare Alt
0;41;0.222783;Intersect
0;41;12.7784;KL DIV
0;42;0.791371;Bhattacharyya
0;42;61.9899;Chisquare
0;42;0.126061;Correlation
0;42;2.80252;Chisquare Alt
0;42;0.217292;Intersect
0;42;12.9302;KL DIV
0;43;0.793591;Bhattacharyya
0;43;57.5465;Chisquare
0;43;0.138081;Correlation
0;43;2.79978;Chisquare Alt
0;43;0.221785;Intersect
0;43;12.9705;KL DIV
0;44;0.792658;Bhattacharyya
0;44;208.901;Chisquare
0;44;0.133842;Correlation
0;44;2.80935;Chisquare Alt
0;44;0.215975;Intersect
0;44;12.902;KL DIV
0;45;0.793663;Bhattacharyya
0;45;63.7224;Chisquare
0;45;0.129072;Correlation
0;45;2.81515;Chisquare Alt
0;45;0.220121;Intersect
0;45;12.781;KL DIV
0;46;0.795334;Bhattacharyya
0;46;54.7789;Chisquare
0;46;0.133256;Correlation
0;46;2.81452;Chisquare Alt
0;46;0.215105;Intersect
0;46;12.8664;KL DIV
0;47;0.79569;Bhattacharyya
0;47;172.995;Chisquare
0;47;0.134266;Correlation
0;47;2.81808;Chisquare Alt
0;47;0.219354;Intersect
0;47;12.8377;KL DIV
0;48;0.794602;Bhattacharyya
0;48;198.693;Chisquare
0;48;0.129007;Correlation
0;48;2.81867;Chisquare Alt
0;48;0.210497;Intersect
0;48;12.7597;KL DIV
0;49;0.796556;Bhattacharyya
0;49;49.6997;Chisquare
0;49;0.122712;Correlation
0;49;2.82097;Chisquare Alt
0;49;0.219769;Intersect
0;49;12.7739;KL DIV
0;50;0.796959;Bhattacharyya
0;50;149.776;Chisquare
0;50;0.121022;Correlation
0;50;2.82159;Chisquare Alt
0;50;0.211351;Intersect
0;50;12.8408;KL DIV
0;51;0.798582;Bhattacharyya
0;51;76.3891;Chisquare
0;51;0.129585;Correlation
0;51;2.82898;Chisquare Alt
0;51;0.214756;Intersect
0;51;12.7708;KL DIV
0;52;0.797206;Bhattacharyya
0;52;74.8827;Chisquare
0;52;0.11802;Correlation
0;52;2.81826;Chisquare Alt
0;52;0.211655;Intersect
0;52;12.7489;KL DIV
0;53;0.798265;Bhattacharyya
0;53;118.956;Chisquare
0;53;0.122614;Correlation
0;53;2.82079;Chisquare Alt
0;53;0.217206;Intersect
0;53;12.7474;KL DIV
0;54;0.799102;Bhattacharyya
0;54;61.3766;Chisquare
0;54;0.120651;Correlation
0;54;2.83343;Chisquare Alt
0;54;0.209932;Intersect
0;54;12.7382;KL DIV
0;55;0.798633;Bhattacharyya
0;55;41.6777;Chisquare
0;55;0.126459;Correlation
0;55;2.81981;Chisquare Alt
0;55;0.216104;Intersect
0;55;12.6621;KL DIV
0;56;0.799466;Bhattacharyya
0;56;70.4744;Chisquare
0;56;0.111785;Correlation
0;56;2.82741;Chisquare Alt
0;56;0.211065;Intersect
0;56;12.7611;KL DIV
0;57;0.799215;Bhattacharyya
0;57;71.0081;Chisquare
0;57;0.118353;Correlation
0;57;2.82908;Chisquare Alt
0;57;0.213622;Intersect
0;57;12.6875;KL DIV
0;58;0.799826;Bhattacharyya
0;58;82.7603;Chisquare
0;58;0.115823;Correlation
0;58;2.83991;Chisquare Alt
0;58;0.208394;Intersect
0;58;12.6475;KL DIV
0;59;0.801838;Bhattacharyya
0;59;71.9926;Chisquare
0;59;0.112974;Correlation
0;59;2.84162;Chisquare Alt
0;59;0.207966;Intersect
0;59;12.7409;KL DIV
0;60;0.802102;Bhattacharyya
0;60;74.4094;Chisquare
0;60;0.107341;Correlation
0;60;2.84554;Chisquare Alt
0;60;0.208018;Intersect
0;60;12.7292;KL DIV
0;61;0.801656;Bhattacharyya
0;61;71.4508;Chisquare
0;61;0.113133;Correlation
0;61;2.84696;Chisquare Alt
0;61;0.206781;Intersect
0;61;12.7034;KL DIV
0;62;0.801976;Bhattacharyya
0;62;49.835;Chisquare
0;62;0.107615;Correlation
0;62;2.84643;Chisquare Alt
0;62;0.207511;Intersect
0;62;12.5877;KL DIV
0;63;0.802215;Bhattacharyya
0;63;89.4139;Chisquare
0;63;0.109696;Correlation
0;63;2.84556;Chisquare Alt
0;63;0.208227;Intersect
0;63;12.712;KL DIV
0;64;0.802464;Bhattacharyya
0;64;93.11;Chisquare
0;64;0.110881;Correlation
0;64;2.85527;Chisquare Alt
0;64;0.205867;Intersect
0;64;12.5906;KL DIV
0;65;0.801967;Bhattacharyya
0;65;52.1248;Chisquare
0;65;0.113385;Correlation
0;65;2.84687;Chisquare Alt
0;65;0.207577;Intersect
0;65;12.604;KL DIV
0;66;0.804431;Bhattacharyya
0;66;46.0995;Chisquare
0;66;0.111615;Correlation
0;66;2.85386;Chisquare Alt
0;66;0.206322;Intersect
0;66;12.6367;KL DIV
0;67;0.802665;Bhattacharyya
0;67;109.3;Chisquare
0;67;0.114993;Correlation
0;67;2.85199;Chisquare Alt
